date,festival
2020-03-10,Holi
2020-05-24,Eid al-Fitr
2020-08-03,Raksha Bandhan
2020-10-25,Dussehra
2020-11-14,Diwali
2021-03-29,Holi
2021-05-13,Eid al-Fitr
2021-08-22,Raksha Bandhan
2021-10-15,Dussehra
2021-11-04,Diwali
2022-03-18,Holi
2022-05-02,Eid al-Fitr
2022-08-11,Raksha Bandhan
2022-10-05,Dussehra
2022-10-24,Diwali
2023-03-08,Holi
2023-04-21,Eid al-Fitr
2023-08-30,Raksha Bandhan
2023-10-24,Dussehra
2023-11-12,Diwali
2024-03-25,Holi
2024-04-10,Eid al-Fitr
2024-08-19,Raksha Bandhan
2024-10-12,Dussehra
2024-11-01,Diwali
2025-03-14,Holi
2025-03-31,Eid al-Fitr
2025-08-09,Raksha Bandhan
2025-10-02,Dussehra
2025-10-20,Diwali
2026-03-04,Holi
2026-03-20,Eid al-Fitr
2026-08-28,Raksha Bandhan
2026-10-20,Dussehra
2026-11-08,Diwali
2027-03-09,Eid al-Fitr
2027-03-22,Holi
2027-08-17,Raksha Bandhan
2027-10-09,Dussehra
2027-10-29,Diwali
